cell,sample,cell_type
GSM1377859,GSM1377859,zygote
GSM1377860,GSM1377860,zygote
GSM1377861,GSM1377861,zygote
GSM1377862,GSM1377862,zygote
GSM1377863,GSM1377863,zygote
GSM1377864,GSM1377864,zygote
GSM1377865,GSM1377865,zygote
GSM1377866,GSM1377866,zygote
GSM1377867,GSM1377867,zygote
GSM1377868,GSM1377868,2cell
GSM1377869,GSM1377869,2cell
GSM1377870,GSM1377870,2cell
GSM1377871,GSM1377871,2cell
GSM1377872,GSM1377872,2cell
GSM1377873,GSM1377873,2cell
GSM1377874,GSM1377874,2cell
GSM1377875,GSM1377875,2cell
GSM1377876,GSM1377876,2cell
GSM1377877,GSM1377877,2cell
GSM1377878,GSM1377878,2cell
GSM1377879,GSM1377879,2cell
GSM1377880,GSM1377880,2cell
GSM1377881,GSM1377881,2cell
GSM1377882,GSM1377882,2cell
GSM1377883,GSM1377883,2cell
GSM1377884,GSM1377884,2cell
GSM1377885,GSM1377885,2cell
GSM1377886,GSM1377886,2cell
GSM1377887,GSM1377887,2cell
GSM1377888,GSM1377888,4cell
GSM1377889,GSM1377889,4cell
GSM1377890,GSM1377890,4cell
GSM1377891,GSM1377891,4cell
GSM1377892,GSM1377892,4cell
GSM1377893,GSM1377893,4cell
GSM1377894,GSM1377894,4cell
GSM1377895,GSM1377895,4cell
GSM1377896,GSM1377896,4cell
GSM1377897,GSM1377897,4cell
GSM1377898,GSM1377898,4cell
GSM1377899,GSM1377899,4cell
GSM1377900,GSM1377900,4cell
GSM1377901,GSM1377901,4cell
GSM1377902,GSM1377902,4cell
GSM1377903,GSM1377903,4cell
GSM1377904,GSM1377904,4cell
GSM1377905,GSM1377905,4cell
GSM1377906,GSM1377906,4cell
GSM1377907,GSM1377907,4cell
GSM1377908,GSM1377908,blastocyst
GSM1377909,GSM1377909,blastocyst
GSM1377910,GSM1377910,blastocyst
GSM1377911,GSM1377911,blastocyst
GSM1377912,GSM1377912,blastocyst
GSM1377913,GSM1377913,blastocyst
GSM1377914,GSM1377914,blastocyst
