gene,GSM1377859,GSM1377860,GSM1377861,GSM1377862,GSM1377863,GSM1377864,GSM1377865,GSM1377866,GSM1377867,GSM1377868,GSM1377869,GSM1377870,GSM1377871,GSM1377872,GSM1377873,GSM1377874,GSM1377875,GSM1377876,GSM1377877,GSM1377878,GSM1377879,GSM1377880,GSM1377881,GSM1377882,GSM1377883,GSM1377884,GSM1377885,GSM1377886,GSM1377887,GSM1377888,GSM1377889,GSM1377890,GSM1377891,GSM1377892,GSM1377893,GSM1377894,GSM1377895,GSM1377896,GSM1377897,GSM1377898,GSM1377899,GSM1377900,GSM1377901,GSM1377902,GSM1377903,GSM1377904,GSM1377905,GSM1377906,GSM1377907,GSM1377908,GSM1377909,GSM1377910,GSM1377911,GSM1377912,GSM1377913,GSM1377914
ENSMUSG00000000001,25.8078,36.7561,8.87692,24.5712,31.2255,24.7722,40.7458,38.4155,43.4644,32.3039,15.6583,2.95497,16.565,8.42369,10.2104,0.295316,11.4445,2.35657,24.6287,6.30925,0.574979,20.5456,22.5022,65.8153,13.9974,26.0611,31.7706,27.3138,25.8664,34.22,1.9567,9.13244,34.7882,21.0284,6.71416,7.41775,21.4241,8.51515,28.7958,17.3321,7.26563,23.9111,8.1959,25.2141,12.5604,17.0671,28.0438,5.55538,16.9205,14.5521,51.4738,1.28556,40.5632,0,0.084052,0
ENSMUSG00000000028,93.4291,92.1165,94.5908,107.038,121.449,139.323,0.960904,162.727,121.176,132.244,96.5473,73.957,89.414,147.993,122.914,41.9303,85.0758,137.995,117.534,129.968,140.682,89.2355,143.424,186.032,143.411,118.127,128.122,97.6255,104.882,124.079,115.577,103.698,129.322,109.116,133.546,111.569,123.873,155.707,96.6421,184.075,95.5292,95.247,78.5492,97.3728,126.197,110.843,112.88,27.0082,105.087,70.1797,41.6146,131.129,56.9339,8.76009,3.8319,2.78523
ENSMUSG00000000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261558,0,0,0,0,0,0
ENSMUSG00000000037,37.9544,22.4305,23.342,42.2728,23.8579,32.4989,15.721,37.7355,48.236,34.3155,34.4114,20.1214,12.3911,27.0164,16.5842,42.8254,18.1842,8.28978,35.7599,29.9049,52.6079,22.4855,19.5693,13.1228,39.0391,116.275,11.3242,7.83175,13.4361,0,0.0699694,0,1.21913,5.03846,0.899882,24.1492,1.57395,1.56258,3.64692,6.96041,4.10032,0.898639,2.96926,0,2.5668,0.819362,1.08452,0,0,0,4.74386,0,2.09974,0,0,0
ENSMUSG00000000049,0,0,0,0,0,0,0,1.19912,0,0,0,0,0,0,0,0,0,0,0,0.293107,1.45284,0,0,0.195331,0,0,0,0,0,0,0,0,0,0.197389,3.40817,13.4175,0.541685,7.122,0.48118,0.636482,0.20373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000056,11.7348,5.61334,7.52622,6.2115,6.20216,28.3024,39.4705,37.3568,11.8725,27.3852,50.7403,16.567,0.473132,11.7766,17.563,10.2294,1.20292,0.203465,1.20738,1.36169,0.460457,1.88183,0.0654202,0.0388259,36.9858,0.0404584,0.0452524,0.0522321,4.99247,5.24292,11.9315,0.226235,3.46487,22.9087,24.9402,0.834872,0,0,3.22766,0,36.4311,0,0,1.77977,6.85834,0.0434619,0,0,0,0,3.39413,0.035212,9.4485,0,0,0.108556
ENSMUSG00000000058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91037,0,0,0,0,0,0,0,0,0,0,9.52575,0,0,0,0,0,0,0.0677336,0.0841721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30703,0,0,0
ENSMUSG00000000078,2.08834,2.59259,1.96145,7.43186,1.64318,1.95126,0.761243,2.02581,0.545568,0,0,0,0,0,12.1254,4.73989,8.95796,5.61595,7.23458,0,0,0,0.0324134,0,0,0,0,0,0,0,0,0,0,0,0,0.052663,0.0893091,0,0,0,0,2.33097,1.77783,2.32364,2.58072,0,0,0,0,31.2136,28.5981,45.0075,16.3547,12.992,4.25521,5.23121
ENSMUSG00000000085,18.2178,14.2915,24.3068,32.8397,23.1381,34.4601,16.9042,28.773,8.36894,12.1608,47.9832,8.57724,11.1382,19.4195,21.507,56.377,8.96896,21.6801,27.6403,9.88073,36.6155,3.82685,1.37931,0,0.153337,43.0174,0.471945,0.354846,33.8532,0,0,0,0,11.2692,0.388629,5.84626,8.99692,0.329244,0.176455,13.2672,0.155462,24.7004,0,0.788751,0,0,0,0,0,0.326035,41.3224,0.0999496,24.5426,0,0,1.31305
ENSMUSG00000000088,10.3371,14.0136,35.579,11.889,24.3068,17.2078,2.71946,6.79792,12.6991,11.2547,26.417,0.629597,18.3557,15.1802,7.73765,17.7141,12.1126,12.3417,10.1719,44.704,137.053,93.7279,115.732,56.8396,75.7512,103.935,129.172,73.1212,93.8767,210.686,155.021,192.429,228.781,163.598,221.016,187.315,168.952,260.795,279.595,232.303,209.5,151.723,245.769,194.071,166.805,212.093,226.729,262.021,246.157,66.1924,196.62,292.85,169.995,38.431,69.0879,1.12987
ENSMUSG00000000093,0,0,0,0,0,0,0,0,0,0,0,0,0.256215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579898,0,0,0,0,0
ENSMUSG00000000094,60.5832,58.8731,49.46,65.9579,58.3816,57.2333,22.0803,62.2921,43.3965,4.38287,2.62222,2.42609,0.0442519,0,0.454954,12.7565,9.61824,0.119042,3.81666,16.9822,0.388125,0.782351,0.883247,2.5174,0,0,0.118855,0,1.20486,2.14737,0,0,0,0,0,0.126444,0,0,0,0,1.98412,0,0,0,1.31407,0,0,0,0,0,0.223672,0,0.190722,0,0,0
