cell,sample,cell_type
I_1,intestinal,cluster_3
I_2,intestinal,cluster_3
I_3,intestinal,cluster_3
I_4,intestinal,cluster_5
I_5,intestinal,cluster_3
I_6,intestinal,cluster_8
I_7,intestinal,cluster_2
I_8,intestinal,cluster_13
I_9,intestinal,cluster_2
I_10,intestinal,cluster_6
I_12,intestinal,cluster_3
I_13,intestinal,cluster_2
I_14,intestinal,cluster_13
I_15,intestinal,cluster_5
I_16,intestinal,cluster_6
I_17,intestinal,cluster_3
I_18,intestinal,cluster_1
I_19,intestinal,cluster_2
I_20,intestinal,cluster_3
I_21,intestinal,cluster_2
I_22,intestinal,cluster_9
I_23,intestinal,cluster_5
I_24,intestinal,cluster_6
I_25,intestinal,cluster_6
I_26,intestinal,cluster_1
I_27,intestinal,cluster_3
I_28,intestinal,cluster_3
I_29,intestinal,cluster_11
I_30,intestinal,cluster_3
I_31,intestinal,cluster_3
I_32,intestinal,cluster_4
I_33,intestinal,cluster_3
I_35,intestinal,cluster_3
I_36,intestinal,cluster_3
I_37,intestinal,cluster_2
I_38,intestinal,cluster_6
I_39,intestinal,cluster_5
I_40,intestinal,cluster_2
I_41,intestinal,cluster_2
I_42,intestinal,cluster_2
I_43,intestinal,cluster_3
I_44,intestinal,cluster_3
I_45,intestinal,cluster_3
I_46,intestinal,cluster_3
I_47,intestinal,cluster_3
I_48,intestinal,cluster_3
I_49,intestinal,cluster_3
I_50,intestinal,cluster_6
I_51,intestinal,cluster_3
I_52,intestinal,cluster_2
I_53,intestinal,cluster_3
I_54,intestinal,cluster_3
I_55,intestinal,cluster_5
I_56,intestinal,cluster_3
I_57,intestinal,cluster_8
I_58,intestinal,cluster_3
I_59,intestinal,cluster_3
I_60,intestinal,cluster_3
I_61,intestinal,cluster_5
I_62,intestinal,cluster_5
I_63,intestinal,cluster_3
I_64,intestinal,cluster_6
I_65,intestinal,cluster_12
I_66,intestinal,cluster_3
I_67,intestinal,cluster_2
I_68,intestinal,cluster_4
I_69,intestinal,cluster_13
I_70,intestinal,cluster_3
I_71,intestinal,cluster_9
I_72,intestinal,cluster_3
I_73,intestinal,cluster_5
I_75,intestinal,cluster_3
I_76,intestinal,cluster_3
I_77,intestinal,cluster_5
I_78,intestinal,cluster_6
I_79,intestinal,cluster_2
I_80,intestinal,cluster_3
I_81,intestinal,cluster_2
I_82,intestinal,cluster_13
I_83,intestinal,cluster_2
I_84,intestinal,cluster_6
I_85,intestinal,cluster_2
I_86,intestinal,cluster_4
I_87,intestinal,cluster_3
I_88,intestinal,cluster_2
I_89,intestinal,cluster_1
I_91,intestinal,cluster_13
I_92,intestinal,cluster_4
I_93,intestinal,cluster_5
I_94,intestinal,cluster_6
I_95,intestinal,cluster_6
I_96,intestinal,cluster_2
II_1,intestinal,cluster_5
II_2,intestinal,cluster_6
II_3,intestinal,cluster_3
II_4,intestinal,cluster_2
II_5,intestinal,cluster_6
II_6,intestinal,cluster_6
II_8,intestinal,cluster_6
II_9,intestinal,cluster_6
II_10,intestinal,cluster_6
II_11,intestinal,cluster_2
II_12,intestinal,cluster_6
II_13,intestinal,cluster_6
II_14,intestinal,cluster_6
II_15,intestinal,cluster_12
II_17,intestinal,cluster_2
II_18,intestinal,cluster_2
II_19,intestinal,cluster_6
II_20,intestinal,cluster_2
II_21,intestinal,cluster_6
II_23,intestinal,cluster_12
II_24,intestinal,cluster_3
II_26,intestinal,cluster_6
II_27,intestinal,cluster_2
II_28,intestinal,cluster_5
II_29,intestinal,cluster_11
II_30,intestinal,cluster_6
II_31,intestinal,cluster_2
II_32,intestinal,cluster_3
II_33,intestinal,cluster_2
II_34,intestinal,cluster_5
II_35,intestinal,cluster_3
II_36,intestinal,cluster_2
II_37,intestinal,cluster_6
II_38,intestinal,cluster_3
II_39,intestinal,cluster_2
II_40,intestinal,cluster_5
II_41,intestinal,cluster_5
II_42,intestinal,cluster_3
II_44,intestinal,cluster_3
II_45,intestinal,cluster_3
II_46,intestinal,cluster_2
II_47,intestinal,cluster_9
II_48,intestinal,cluster_3
II_50,intestinal,cluster_3
II_51,intestinal,cluster_13
II_52,intestinal,cluster_6
II_53,intestinal,cluster_10
II_54,intestinal,cluster_10
II_55,intestinal,cluster_3
II_56,intestinal,cluster_3
II_57,intestinal,cluster_5
II_58,intestinal,cluster_5
II_59,intestinal,cluster_6
II_60,intestinal,cluster_1
II_62,intestinal,cluster_2
II_63,intestinal,cluster_6
II_64,intestinal,cluster_2
II_66,intestinal,cluster_2
II_67,intestinal,cluster_2
II_68,intestinal,cluster_4
II_69,intestinal,cluster_3
II_70,intestinal,cluster_6
II_72,intestinal,cluster_2
II_73,intestinal,cluster_3
II_74,intestinal,cluster_2
II_75,intestinal,cluster_2
II_76,intestinal,cluster_5
II_77,intestinal,cluster_6
II_78,intestinal,cluster_6
II_79,intestinal,cluster_3
II_80,intestinal,cluster_3
II_81,intestinal,cluster_3
II_82,intestinal,cluster_3
II_83,intestinal,cluster_3
II_84,intestinal,cluster_3
II_85,intestinal,cluster_6
II_87,intestinal,cluster_5
II_88,intestinal,cluster_3
II_89,intestinal,cluster_5
II_90,intestinal,cluster_3
II_91,intestinal,cluster_1
II_92,intestinal,cluster_3
II_93,intestinal,cluster_4
II_95,intestinal,cluster_3
III_1,intestinal,cluster_6
III_8,intestinal,cluster_6
III_10,intestinal,cluster_3
III_14,intestinal,cluster_5
III_16,intestinal,cluster_5
III_17,intestinal,cluster_6
III_20,intestinal,cluster_8
III_21,intestinal,cluster_2
III_22,intestinal,cluster_5
III_23,intestinal,cluster_2
III_25,intestinal,cluster_6
III_26,intestinal,cluster_3
III_28,intestinal,cluster_4
III_29,intestinal,cluster_6
III_30,intestinal,cluster_3
III_33,intestinal,cluster_6
III_34,intestinal,cluster_6
III_35,intestinal,cluster_5
III_36,intestinal,cluster_5
III_38,intestinal,cluster_2
III_39,intestinal,cluster_5
III_40,intestinal,cluster_3
III_41,intestinal,cluster_3
III_42,intestinal,cluster_3
III_43,intestinal,cluster_3
III_45,intestinal,cluster_5
III_46,intestinal,cluster_5
III_47,intestinal,cluster_6
III_48,intestinal,cluster_2
III_49,intestinal,cluster_3
III_51,intestinal,cluster_2
III_54,intestinal,cluster_3
III_55,intestinal,cluster_2
III_56,intestinal,cluster_5
III_57,intestinal,cluster_3
III_58,intestinal,cluster_6
III_59,intestinal,cluster_5
III_61,intestinal,cluster_3
III_64,intestinal,cluster_12
III_66,intestinal,cluster_6
III_67,intestinal,cluster_2
III_68,intestinal,cluster_3
III_70,intestinal,cluster_6
III_71,intestinal,cluster_6
III_72,intestinal,cluster_6
III_73,intestinal,cluster_6
III_74,intestinal,cluster_5
III_75,intestinal,cluster_6
III_78,intestinal,cluster_10
III_79,intestinal,cluster_5
III_81,intestinal,cluster_13
III_82,intestinal,cluster_5
III_83,intestinal,cluster_7
III_84,intestinal,cluster_5
III_87,intestinal,cluster_6
III_88,intestinal,cluster_2
III_89,intestinal,cluster_5
III_90,intestinal,cluster_3
III_91,intestinal,cluster_6
III_92,intestinal,cluster_3
III_93,intestinal,cluster_3
III_95,intestinal,cluster_2
